epci,Aspects,Count
244400503,Qualité de l'eau,9.43396226415094
244400503,Qualité des matériaux,18.8679245283019
244400610,Accessibilité,5.40540540540541
244400610,Assainissement,4.05405405405405
244400610,Autre,1.35135135135135
244400610,Déchets,18.9189189189189
244400610,Eco-construction,8.10810810810811
244400610,Economies d'énergie,22.972972972973
244400610,Energies renouvelables,10.8108108108108
244400610,Qualité de l'air,8.10810810810811
244400610,Qualité de l'eau,4.05405405405405
244400610,Qualité des matériaux,16.2162162162162
244400586,Accessibilité,7.40740740740741
244400586,Assainissement,7.40740740740741
244400586,Déchets,14.8148148148148
244400586,Eco-construction,11.1111111111111
244400586,Economies d'énergie,11.1111111111111
244400586,Energies renouvelables,14.8148148148148
244400586,Qualité de l'air,7.40740740740741
244400586,Qualité de l'eau,7.40740740740741
244400586,Qualité des matériaux,18.5185185185185
200072734,Accessibilité,7.14285714285714
200072734,Assainissement,10.7142857142857
200072734,Déchets,10.7142857142857
200072734,Eco-construction,14.2857142857143
200072734,Economies d'énergie,21.4285714285714
200072734,Energies renouvelables,3.57142857142857
200072734,Qualité de l'air,7.14285714285714
200072734,Qualité de l'eau,3.57142857142857
200072734,Qualité des matériaux,21.4285714285714
245300223,Accessibilité,9.25925925925926
245300223,Déchets,7.40740740740741
245300223,Eco-construction,7.40740740740741
245300223,Economies d'énergie,29.6296296296296
245300223,Energies renouvelables,14.8148148148148
245300223,Qualité de l'air,1.85185185185185
245300223,Qualité de l'eau,3.7037037037037
245300223,Qualité des matériaux,25.9259259259259
245300330,Accessibilité,12
245300330,Assainissement,4
245300330,Déchets,12
245300330,Eco-construction,8
245300330,Economies d'énergie,20
245300330,Energies renouvelables,12
245300330,Qualité de l'air,4
245300330,Qualité de l'eau,4
245300330,Qualité des matériaux,24
200055887,Accessibilité,12.2448979591837
200055887,Déchets,8.16326530612245
200055887,Eco-construction,6.12244897959184
200055887,Economies d'énergie,32.6530612244898
200055887,Energies renouvelables,12.2448979591837
200055887,Qualité de l'air,2.04081632653061
200055887,Qualité de l'eau,2.04081632653061
200055887,Qualité des matériaux,24.4897959183673
245300389,Accessibilité,12
245300389,Déchets,16
245300389,Eco-construction,4
245300389,Economies d'énergie,24
245300389,Energies renouvelables,8
245300389,Qualité de l'air,2
245300389,Qualité de l'eau,4
245300389,Qualité des matériaux,30
247200686,Accessibilité,8.62068965517241
247200686,Assainissement,3.44827586206897
247200686,Déchets,6.89655172413793
247200686,Eco-construction,10.3448275862069
247200686,Economies d'énergie,22.4137931034483
247200686,Energies renouvelables,12.0689655172414
247200686,Qualité de l'air,5.17241379310345
247200686,Qualité de l'eau,6.89655172413793
247200686,Qualité des matériaux,24.1379310344828
247200629,Accessibilité,12.5
247200629,Déchets,2.08333333333333
247200629,Eco-construction,4.16666666666667
247200629,Economies d'énergie,27.0833333333333
247200629,Energies renouvelables,14.5833333333333
247200629,Qualité de l'air,8.33333333333333
247200629,Qualité de l'eau,8.33333333333333
247200629,Qualité des matériaux,22.9166666666667
247200447,Accessibilité,4.54545454545455
247200447,Assainissement,4.54545454545455
247200447,Déchets,4.54545454545455
247200447,Eco-construction,4.54545454545455
247200447,Economies d'énergie,36.3636363636364
247200447,Energies renouvelables,4.54545454545455
247200447,Qualité de l'air,9.09090909090909
247200447,Qualité des matériaux,31.8181818181818
200072718,Accessibilité,9.09090909090909
200072718,Assainissement,4.54545454545455
200072718,Déchets,9.09090909090909
200072718,Eco-construction,9.09090909090909
200072718,Economies d'énergie,36.3636363636364
200072718,Energies renouvelables,13.6363636363636
200072718,Qualité des matériaux,18.1818181818182
200072676,Accessibilité,14.2857142857143
200072676,Assainissement,14.2857142857143
200072676,Déchets,14.2857142857143
200072676,Energies renouvelables,14.2857142857143
200072676,Qualité des matériaux,42.8571428571429
