V1,V2,V3
248500464,plâtrerie-isolation&A la hausse&CDD,0
248500464,plâtrerie-isolation&A la hausse&CDI,4
248500464,plâtrerie-isolation&A la hausse&Apprentis,0
248500464,plâtrerie-isolation&A la hausse&Intérimaires,0
248500464,plâtrerie-isolation&Stable&CDD,0
248500464,plâtrerie-isolation&Stable&CDI,2
248500464,plâtrerie-isolation&Stable&Apprentis,0
248500464,plâtrerie-isolation&Stable&Intérimaires,0
200073260,plomberie-chauffage-couverture&A la hausse&CDD,1
200073260,plomberie-chauffage-couverture&A la hausse&CDI,5.66666666666667
200073260,plomberie-chauffage-couverture&A la hausse&Apprentis,1.33333333333333
200073260,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
200073260,plomberie-chauffage-couverture&Stable&CDD,1
200073260,plomberie-chauffage-couverture&Stable&CDI,3.28571428571429
200073260,plomberie-chauffage-couverture&Stable&Apprentis,1
200073260,plomberie-chauffage-couverture&Stable&Intérimaires,1
200073260,menuiserie-charpente&A la hausse&CDD,1
200073260,menuiserie-charpente&A la hausse&CDI,3.2
200073260,menuiserie-charpente&A la hausse&Apprentis,1.5
200073260,menuiserie-charpente&A la hausse&Intérimaires,1
200073260,menuiserie-charpente&Stable&CDD,2
200073260,menuiserie-charpente&Stable&CDI,5.4
200073260,menuiserie-charpente&Stable&Apprentis,3
200073260,menuiserie-charpente&Stable&Intérimaires,0
200073260,maçonnerie-carrelage&A la hausse&CDD,1
200073260,maçonnerie-carrelage&A la hausse&CDI,4.4
200073260,maçonnerie-carrelage&A la hausse&Apprentis,0
200073260,maçonnerie-carrelage&A la hausse&Intérimaires,0
200073260,maçonnerie-carrelage&Stable&CDD,1.16666666666667
200073260,maçonnerie-carrelage&Stable&CDI,7.16666666666667
200073260,maçonnerie-carrelage&Stable&Apprentis,1.25
200073260,maçonnerie-carrelage&Stable&Intérimaires,1
200073260,Peinture&A la hausse&CDD,1
200073260,Peinture&A la hausse&CDI,11
200073260,Peinture&A la hausse&Apprentis,2
200073260,Peinture&A la hausse&Intérimaires,5
200073260,Peinture&Stable&CDD,3.66666666666667
200073260,Peinture&Stable&CDI,6.42857142857143
200073260,Peinture&Stable&Apprentis,1.57142857142857
200073260,Peinture&Stable&Intérimaires,1
200073260,Electricité&A la hausse&CDD,0
200073260,Electricité&A la hausse&CDI,1
200073260,Electricité&A la hausse&Apprentis,1
200073260,Electricité&A la hausse&Intérimaires,0
200073260,Electricité&Stable&CDD,0
200073260,Electricité&Stable&CDI,0
200073260,Electricité&Stable&Apprentis,1
200073260,Electricité&Stable&Intérimaires,0
200073260,plâtrerie-isolation&A la hausse&CDD,1
200073260,plâtrerie-isolation&A la hausse&CDI,7
200073260,plâtrerie-isolation&A la hausse&Apprentis,0
200073260,plâtrerie-isolation&A la hausse&Intérimaires,0
200073260,plâtrerie-isolation&Stable&CDD,0
200073260,plâtrerie-isolation&Stable&CDI,4
200073260,plâtrerie-isolation&Stable&Apprentis,1
200073260,plâtrerie-isolation&Stable&Intérimaires,0
248500340,plomberie-chauffage-couverture&A la hausse&CDD,0
248500340,plomberie-chauffage-couverture&A la hausse&CDI,4
248500340,plomberie-chauffage-couverture&A la hausse&Apprentis,1
248500340,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
248500340,plomberie-chauffage-couverture&Stable&CDD,1
248500340,plomberie-chauffage-couverture&Stable&CDI,4.5
248500340,plomberie-chauffage-couverture&Stable&Apprentis,0
248500340,plomberie-chauffage-couverture&Stable&Intérimaires,1
248500340,menuiserie-charpente&A la hausse&CDD,0
248500340,menuiserie-charpente&A la hausse&CDI,2.5
248500340,menuiserie-charpente&A la hausse&Apprentis,1
248500340,menuiserie-charpente&A la hausse&Intérimaires,0
248500340,menuiserie-charpente&Stable&CDD,1.25
248500340,menuiserie-charpente&Stable&CDI,6.63636363636364
248500340,menuiserie-charpente&Stable&Apprentis,3
248500340,menuiserie-charpente&Stable&Intérimaires,1
248500340,maçonnerie-carrelage&A la hausse&CDD,0
248500340,maçonnerie-carrelage&A la hausse&CDI,3.25
248500340,maçonnerie-carrelage&A la hausse&Apprentis,1
248500340,maçonnerie-carrelage&A la hausse&Intérimaires,0
248500340,maçonnerie-carrelage&Stable&CDD,1.66666666666667
248500340,maçonnerie-carrelage&Stable&CDI,4.86666666666667
248500340,maçonnerie-carrelage&Stable&Apprentis,1.3
248500340,maçonnerie-carrelage&Stable&Intérimaires,0
248500340,Peinture&A la hausse&CDD,0
248500340,Peinture&A la hausse&CDI,2
248500340,Peinture&A la hausse&Apprentis,0
248500340,Peinture&A la hausse&Intérimaires,0
248500340,Peinture&Stable&CDD,0
248500340,Peinture&Stable&CDI,3.2
248500340,Peinture&Stable&Apprentis,1.5
248500340,Peinture&Stable&Intérimaires,1.5
248500340,Electricité&A la hausse&CDD,0
248500340,Electricité&A la hausse&CDI,1.5
248500340,Electricité&A la hausse&Apprentis,1
248500340,Electricité&A la hausse&Intérimaires,0
248500340,Electricité&Stable&CDD,0
248500340,Electricité&Stable&CDI,3.25
248500340,Electricité&Stable&Apprentis,1
248500340,Electricité&Stable&Intérimaires,0
248500340,plâtrerie-isolation&Stable&CDD,6
248500340,plâtrerie-isolation&Stable&CDI,8.5
248500340,plâtrerie-isolation&Stable&Apprentis,0
248500340,plâtrerie-isolation&Stable&Intérimaires,18.5
200023778,plomberie-chauffage-couverture&A la hausse&CDD,1
200023778,plomberie-chauffage-couverture&A la hausse&CDI,2.5
200023778,plomberie-chauffage-couverture&A la hausse&Apprentis,1
200023778,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
200023778,plomberie-chauffage-couverture&Stable&CDD,0
200023778,plomberie-chauffage-couverture&Stable&CDI,2.25
200023778,plomberie-chauffage-couverture&Stable&Apprentis,0
200023778,plomberie-chauffage-couverture&Stable&Intérimaires,0
200023778,menuiserie-charpente&A la hausse&CDD,1
200023778,menuiserie-charpente&A la hausse&CDI,3.44444444444444
200023778,menuiserie-charpente&A la hausse&Apprentis,1.5
200023778,menuiserie-charpente&A la hausse&Intérimaires,1
200023778,menuiserie-charpente&Stable&CDD,1
200023778,menuiserie-charpente&Stable&CDI,5.58333333333333
200023778,menuiserie-charpente&Stable&Apprentis,1.625
200023778,menuiserie-charpente&Stable&Intérimaires,0
200023778,maçonnerie-carrelage&A la hausse&CDD,0
200023778,maçonnerie-carrelage&A la hausse&CDI,5
200023778,maçonnerie-carrelage&A la hausse&Apprentis,1.33333333333333
200023778,maçonnerie-carrelage&A la hausse&Intérimaires,0
200023778,maçonnerie-carrelage&Stable&CDD,2.8
200023778,maçonnerie-carrelage&Stable&CDI,3.78947368421053
200023778,maçonnerie-carrelage&Stable&Apprentis,1.25
200023778,maçonnerie-carrelage&Stable&Intérimaires,0
200023778,Peinture&A la hausse&CDD,0
200023778,Peinture&A la hausse&CDI,0
200023778,Peinture&A la hausse&Apprentis,0
200023778,Peinture&A la hausse&Intérimaires,0
200023778,Peinture&Stable&CDD,1
200023778,Peinture&Stable&CDI,2.66666666666667
200023778,Peinture&Stable&Apprentis,1
200023778,Peinture&Stable&Intérimaires,1.5
200023778,Electricité&A la hausse&CDD,2
200023778,Electricité&A la hausse&CDI,2.5
200023778,Electricité&A la hausse&Apprentis,1.5
200023778,Electricité&A la hausse&Intérimaires,0
200023778,Electricité&Stable&CDD,0
200023778,Electricité&Stable&CDI,1.75
200023778,Electricité&Stable&Apprentis,0
200023778,Electricité&Stable&Intérimaires,0
200023778,plâtrerie-isolation&A la hausse&CDD,0
200023778,plâtrerie-isolation&A la hausse&CDI,2
200023778,plâtrerie-isolation&A la hausse&Apprentis,1
200023778,plâtrerie-isolation&A la hausse&Intérimaires,0
200023778,plâtrerie-isolation&Stable&CDD,1
200023778,plâtrerie-isolation&Stable&CDI,1.5
200023778,plâtrerie-isolation&Stable&Apprentis,1
200023778,plâtrerie-isolation&Stable&Intérimaires,0
200071546,plomberie-chauffage-couverture&A la hausse&CDD,0
