Nom;Pays;Date_debut;Date_fin;Ville;Nombre;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Baroness;Etats-Unis;2003;false;Savannah;2;0;0;Discover stage;0;0;0;0;0;0;0;0;Valley
Behemoth;Pologne;1991;false;Gda?sk;5;0;Gibson stage;0;0;Main 02;0;Temple;0;Main 02;0;0;Main 02
Behexen;Finlande;1994;false;NA;1;0;0;0;0;0;0;0;0;0;0;Temple;0
Belenos;France;1995;false;NA;1;0;0;0;0;0;0;Temple;0;0;0;0;0
Belphegor;Autriche;1993;false;Salzburg;4;0;0;Discover stage;0;0;Rock Hard tent;0;Temple;0;0;0;Temple
Benediction;Angleterre;1988;false;NA;1;0;0;0;0;0;0;Altar;0;0;0;0;0
Benighted;France;NA;NA;NA;3;0;0;Discover stage;0;0;0;Altar;0;Altar;0;0;0
Berri Txarrak;Espagne;1994;false;Lekunberri;1;0;0;0;0;0;0;0;Warzone;0;0;0;0
Betrayed;NA;NA;false;NA;1;0;0;0;Terrorizer tent;0;0;0;0;0;0;0;0
Betraying the Martyrs;France;NA;NA;NA;2;0;0;0;0;0;0;Main 02;0;0;0;0;Main 01
Between the Buried and Me;Etats-Unis;2000;false;Raleigh;3;0;0;Discover stage;0;Terrorizer tent;0;0;Altar;0;0;0;0
Beyond Creation;Canada;2005;false;Montreal;1;0;0;0;0;0;0;0;0;0;0;0;Altar
Big Business;Etats-Unis;2004;false;Seattle;1;0;0;0;0;0;0;Valley;0;0;0;0;0
Billy Idol;Angleterre;20423;false;Stanmore;1;0;0;0;0;0;0;0;0;0;Main 01;0;0
Biohazard;Etats-Unis;NA;false;NA;3;0;0;0;0;Main 02;0;Warzone;0;0;Warzone;0;0
Birds in Raw;France;NA;false;NA;1;0;0;0;0;0;0;0;0;0;Warzone;0;0
Bison B.C.;Canada;2003;false;Vancouver;1;0;0;0;0;0;0;0;Valley;0;0;0;0
Black Bomb A;France;1995;false;NA;1;0;0;0;0;0;0;Main 02;0;0;0;0;0
Black Breath;Etats-Unis;2006;false;Bellingham;1;0;0;0;0;0;0;0;Valley;0;0;0;0
Black Cobra;Etats-Unis;2002;false;San Francisco;2;0;0;0;0;Terrorizer tent;0;0;Valley;0;0;0;0
Black Label Society;Etats-Unis;1998;false;NA;3;0;0;0;0;0;Main 01;Main 01;0;Temple;0;0;0
Black Pyramid;Etats-Unis;2007;false;NA;1;0;0;0;0;0;0;0;Valley;0;0;0;0
Black Sabbath;Angleterre;1969;true;Birmingham;2;0;0;0;0;0;0;0;0;Main 01;0;Main 01;0
Black Spiders;Angleterre;2008;false;NA;1;0;0;0;0;0;0;0;Main 01;0;0;0;0
Black Star Riders;Etats-Unis;2012-12;false;United States;1;0;0;0;0;0;0;0;0;0;0;0;Main 01
Black Stone Cherry;Etats-Unis;37046;false;Edmonton;1;0;0;0;Main 02;0;0;0;0;0;0;0;0
